,X,Y,応力,Grain_Number
579,74,4,0.066833108,3
580,75,4,-0.005230935,3
581,76,4,0.07151388,3
582,77,4,-0.0242855,3
583,78,4,-0.086485292,3
584,79,4,-0.041576401,3
585,80,4,-0.030138613,3
586,81,4,0.036041449,3
587,82,4,-0.014913559,3
588,83,4,-0.035945759,3
589,84,4,0.054711294,3
590,85,4,0.020820702,3
591,86,4,-0.125751103,3
592,87,4,0.032432474,3
593,88,4,-0.010251355,3
594,89,4,-0.152949926,3
595,90,4,-0.113481349,4
596,91,4,0.219001462,4
597,92,4,0.043321611,4
598,93,4,-0.011654069,4
599,94,4,-0.03275198,4
600,95,4,-0.204941694,4
601,96,4,0.044116528,4
602,97,4,-0.076374062,4
603,98,4,0.029175212,4
604,99,4,0.160726231,4
605,100,4,0.216042945,4
606,101,4,-0.091461503,5
607,102,4,0.17604166,5
608,103,4,-0.13868495,5
609,104,4,0.095954507,5
610,105,4,-0.285671665,5
611,106,4,0.062564502,5
612,107,4,0.528998734,6
613,108,4,0.238116187,6
614,109,4,0.16627156,6
615,110,4,-0.132964811,6
616,111,4,0.023756256,6
617,112,4,-0.070789303,6
618,113,4,-0.058939688,6
619,114,4,-0.00692753,6
620,115,4,-0.071937353,6
621,116,4,0.166384945,6
622,117,4,0.048733233,6
623,118,4,-0.156176279,6
624,119,4,0.116575578,6
625,120,4,0.068513023,6
626,121,4,0.169827782,6
627,122,4,0.124157861,6
628,123,4,0.049900905,6
629,124,4,0.041809301,6
630,125,4,0.10943203,6
631,0,5,0.115223415,0
632,1,5,0.280225674,0
633,2,5,0.219787876,0
634,3,5,0.144384141,0
635,4,5,0.073477654,0
636,5,5,0.138075054,0
637,6,5,0.028659495,0
638,7,5,0.085855402,0
639,8,5,0.047683456,0
640,9,5,0.120518225,0
641,10,5,0.114865183,0
642,11,5,0.039729126,0
643,12,5,0.156139658,0
644,13,5,0.2229267,0
645,14,5,0.100643339,0
646,15,5,0.013964845,0
647,16,5,0.126566307,0
648,17,5,0.041104766,0
649,18,5,-0.073779522,0
650,19,5,-0.101610374,0
651,20,5,0.118826658,0
652,21,5,0.11960979,0
653,22,5,0.065172761,0
654,23,5,0.264808062,0
655,24,5,-0.330011717,7
656,25,5,-0.128762716,7
657,26,5,0.026434122,7
658,27,5,-0.059018717,7
659,28,5,-0.049177044,7
660,29,5,-0.141306509,7
661,30,5,-0.001125876,7
662,31,5,0.072145681,7
663,32,5,-0.179726497,7
664,33,5,0.128220016,1
665,34,5,0.170392863,1
666,35,5,0.064559162,1
667,36,5,0.110710925,1
668,37,5,0.078708161,1
669,38,5,0.001996997,1
670,39,5,0.173992447,1
671,40,5,-0.07527805,1
672,41,5,0.105076766,1
673,42,5,0.180793408,1
674,43,5,-0.007804567,1
675,44,5,-0.094562618,1
676,45,5,0.102177753,1
677,46,5,0.011911885,1
678,47,5,0.120620098,1
679,48,5,0.014715515,1
680,49,5,0.094434975,1
681,50,5,0.032558368,1
682,51,5,0.123410557,1
683,52,5,0.043884704,1
684,53,5,-0.019052062,1
685,54,5,0.046830183,1
686,55,5,0.013885442,1
687,56,5,0.045764912,1
688,57,5,-0.044881898,1
689,58,5,0.030687892,1
690,59,5,0.188531488,1
691,60,5,0.120164624,1
692,61,5,0.408845818,1
693,62,5,0.096815371,2
694,63,5,-0.136713876,2
695,64,5,-0.261038774,2
696,65,5,-0.309834684,2
697,66,5,-0.064199013,3
698,67,5,-0.008294011,3
699,68,5,-0.141505007,3
700,69,5,0.079201962,3
701,70,5,-0.044280556,3
702,71,5,0.086667258,3
703,72,5,-0.074810241,3
704,73,5,-0.035106836,3
705,74,5,0.026258049,3
706,75,5,0.070803991,3
707,76,5,-0.1355787,3
708,77,5,0.047192052,3
709,78,5,0.000833357,3
710,79,5,0.009871207,3
711,80,5,-0.03493257,3
712,81,5,0.051684455,3
713,82,5,-0.035647472,3
714,83,5,-0.006282125,3
715,84,5,-0.039813858,3
716,85,5,-0.01927867,3
717,86,5,-0.089579715,3
718,87,5,0.044727662,3
719,88,5,-0.025852734,3
720,89,5,0.024158134,3
721,90,5,0.093416513,4
722,91,5,-0.002208668,4
723,92,5,0.120765789,4
724,93,5,-0.001228041,4
725,94,5,0,4
726,95,5,-0.097400137,4
727,96,5,-0.072076591,4
728,97,5,-0.088256776,4
729,98,5,0.138034866,4
730,99,5,0.097842671,4
731,100,5,0.072838399,4
732,101,5,-0.021103991,5
733,102,5,0.109500967,5
734,103,5,-0.208469476,5
735,104,5,-0.050020777,5
736,105,5,0.079693601,5
737,106,5,0.18871297,5
738,107,5,0.600148544,6
739,108,5,0.284124247,6
740,109,5,0.224298998,6
741,110,5,0.040773163,6
742,111,5,-0.035245798,6
743,112,5,-0.077180388,6
744,113,5,0.004564231,6
745,114,5,0.117578045,6
746,115,5,0.040224136,6
747,116,5,0.141573694,6
748,117,5,0.247140587,6
749,118,5,0.032196626,6
750,119,5,-0.006293155,6
751,120,5,-0.089550166,6
752,121,5,-0.06733012,6
753,122,5,0.075504738,6
754,123,5,-0.051489452,6
755,124,5,0.162975162,6
